Population PC1 PC2 PC3
hyb_flat 0.579050423873407 1.99218283504274 -0.587565251623912
nov_guan -0.670985805025847 2.5709590014464 0.787305464471646
hyb_liz -1.52489593131044 -2.62171361969175 -1.16691880756469
hyb_med 3.87449809739926 0.340917530192209 1.4639536657018
hyb_red -2.84056122530797 -3.13024228024869 1.57533887910551
nov_blan 1.68999607741332 -3.3936759269433 -1.72569499761428
nov_flat 3.45613062556532 0.186740765354626 -2.25254533534761
nov_han -0.238664679027061 1.3253326394337 -2.7923142867791
nov_kite -2.18399904897092 3.92291537367558 0.976703417448464
nov_lamp -1.62396132475998 2.17759087599669 -2.05727774082697
nov_liz -1.52489593131044 -2.62171361969175 -1.16691880756469
nov_med 6.30142568399803 -1.10023822581701 0.753677486072881
nov_niw -2.50923604072229 3.34891299004194 1.61273448002017
nov_our -1.69101189726037 1.45621795647051 -1.54359821665627
nov_pike -2.46173086537692 0.33854340334038 1.01666677669406
nov_red -2.84056122530797 -3.13024228024869 1.57533887910551
nov_sal 2.69857173939696 -1.87219225909303 2.02107036238433
nov_uin 2.24348587533712 1.57154323853549 1.63820381919373
nov_zirk 3.18191239391267 0.818644381331737 -0.144644169278227
hyb_oso -3.91456694251586 -2.18048277912776 0.0164843830576797
