Population PC1 PC2 PC3
nel_bear -0.34569362240222 -0.925276350392424 -0.503374678535962
hyb_flat -1.42050442812731 2.38277731226435 -1.23796195281387
nel_guan -1.29077502674223 0.578810591634192 0.0887389226673404
nel_kite -1.87611706619077 -1.26920469629403 -0.457573493945715
hyb_liz 3.76335832253094 2.26850768819102 -1.34461924244862
nel_lost -1.37178291451946 -0.767598336107055 -1.8652327678117
hyb_med -1.80269395332822 5.48973580186168 2.44108763781891
nel_niw -1.06232843997126 -1.45001262563605 0.183245297779984
nel_pike 0.775795653908326 -5.75923794699818 1.87158094678456
hyb_red 4.9868127715263 0.658908769845975 1.08695544850701
nel_wind -3.2210964492607 -0.579047420519969 -2.14528175164076
nel_big -1.70793258486287 -0.380042546534764 2.86114514054379
hyb_oso 4.57295773743946 -0.248320241314741 -0.978709506904947
