Population PC1 PC2 PC3
nel_bear 1.96902807592616 0.512537208589163 0.420427825750154
nel_guan 0.663064698669967 -0.603008705974399 -0.366160985688257
nov_guan 0.663064698669967 -0.603008705974399 -0.366160985688257
nel_kite 2.20986907257326 -1.18808908786365 -0.19081781715931
nel_lost 1.67000229988899 -1.11586693391955 1.07661339225152
nel_niw 2.70235034666791 -0.47982301401678 -0.555647816028027
nel_pike 6.4538717955276 3.3649910993066 -0.87782385442344
nel_wind 1.3169068608923 -2.19693839446335 0.632510321564795
nel_big 1.57333595936274 0.776733160254338 -2.95553762693118
nov_blan -3.82896496366298 5.29379274102663 1.37528116961968
nov_flat -4.75908314582297 -1.09660310237326 1.5621718006918
nov_han -1.27974731315684 0.0855983550750447 3.00473725677467
nov_kite 2.20986907257326 -1.18808908786365 -0.19081781715931
nov_lamp 0.494346412773603 -0.450019475510952 2.56550723210613
nov_med -6.7201110756669 -0.0563637784407154 -2.19017143527971
nov_niw 2.70235034666791 -0.47982301401678 -0.555647816028027
nov_our 0.40069476386512 0.774507681449578 2.24939170041762
nov_sal -2.62437691485336 1.36193317526343 -2.49881838466323
nov_uin -1.91061139936494 -1.44054908855529 -2.03781021647395
nov_zirk -3.90585959153075 -1.27191103199201 -0.10122594365374
